start,end,text
0.0,4.16, Hello and welcome to GAFW.
4.16,5.64, Do you have to be radio? What is it?
5.64,7.44, What is it? I'm going to say there.
7.44,9.64, That was a bad Freudian slip actually.
9.64,10.64, GAF.
10.64,12.98," No, this isn't Gaff radius."
12.98,14.44, Do you have to be radio?
14.44,16.2, This is our last one of GDC.
16.2,17.2, Thank God.
17.2,18.68," No, I didn't mean that."
18.68,19.68, They've been fought.
19.68,20.88, But we have Ken Levine on.
20.88,23.48, We have 15 minutes to talk.
23.48,29.28," Ken Levine was, we just named you are our person of the year at GFW."
29.28,31.44," And it's a pretty, you should know how high an honor that."
31.44,34.2," Because the last two years, it's been before you."
34.2,37.92, It was Jim Boulouchey and Hitler.
37.92,38.92, Now it's you.
38.92,42.08," It's Hitler's dog, actually."
42.08,44.8, So congrats following back to the company.
44.8,47.64," It was an honor to, what happened?"
47.64,48.64, I don't know.
48.64,49.64, Something happened.
49.64,51.44, We said you were great this year.
51.44,52.44, We said you were great.
52.44,53.44, Your game was pretty great too.
53.44,56.96, You and my mom feel the same way.
56.96,58.6, We're close.
58.6,60.4, So let's not go down that road.
60.4,61.36, Me and your mom.
61.36,62.84," So we've got a lot to talk about, right?"
62.84,63.84, We do.
63.84,65.36, How bitter and angry we are.
65.36,66.36, Tired?
66.36,67.36, Yeah.
67.36,68.36, Yeah.
68.36,69.36, We all look tired.
69.36,70.36, Let me say this my first time in this room.
70.36,73.36, And I didn't realize what a miserable fucking sack of shit you guys.
73.36,75.64, I'm just fucking disgusting.
75.64,79.36," How unhappy you look and just like, you hate your lives."
79.36,80.36, You could jump.
80.36,81.36, It's crazy.
81.36,82.36, That's a great idea.
82.36,83.76, It's your knees and talk about what we're happy.
83.76,84.76," Yeah, it's disgusting."
84.76,85.76," But listen, I'm with you."
85.76,86.76, I feel that.
86.76,87.76, Touch underneath that desk.
87.76,92.04, Do you notice the only decoration on here is three ever-quest monkeys?
92.04,95.68, That's how sad this is.
95.68,97.48, That is how you keep the employees happy.
97.48,98.48, cardboard.
98.48,100.12, City times here we are.
100.12,101.12, Yeah.
101.12,104.68, So let's so we asked Ken a question before he has to leave.
104.68,108.96000000000001," Yeah, how are we going to ask him to minimum words other than to say, let's give you a topic."
108.96000000000001,109.96000000000001, I can't a little longer.
109.96000000000001,110.96000000000001, I go along.
110.96000000000001,111.96000000000001, A little longer.
111.96000000000001,117.72," Well, we were very intrigued by the transcription of the panel talk you had."
117.72,119.2, That we read on Gamma Sutra.
119.2,120.44, It's kind of pretty cool.
120.44,124.2, And that's sort of been up the alley of a lot of stuff we've been thinking about.
124.2,126.68, It's Sean's been talking about on one-up year's a lot.
126.68,127.96," So yeah, just narrative."
127.96,130.2," I mean, taking forever to wrap it all up."
